video_id,gender,age,gender_margin,age_margin,language,lang_prob
37cc4fe62908ff291e7986fe7b073fff,woman,middle_aged,0.0336,0.0023,no_audio,0.0000
0c0f38fcfde73f554ba87666b7a0f370,no_person,elderly,0.0064,0.0092,no_audio,0.0000
87f35f52d9383abb3842dd9ecc356094,man,middle_aged,0.0027,0.0111,no_audio,0.0000
7a70181f69d9bc4c326d7bc4c4b5273b,man,middle_aged,0.0375,0.0036,no_audio,0.0000
6f93ea66dceaf870ddb75fc044ebac54,no_person,elderly,0.0041,0.0007,no_audio,0.0000
4568b2da8351c56776b7afd531637b1a,man,middle_aged,0.0114,0.0148,no_audio,0.0000
33a753338bc143f3de95b943c7b0edef,man,middle_aged,0.0117,0.0111,no_audio,0.0000
2be781393a78530b8836253443d1196c,man,middle_aged,0.0426,0.0064,no_audio,0.0000
d19f5ced57c18761a2d2654b48a70a33,man,elderly,0.0047,0.0173,no_audio,0.0000
0f59fd722602d8daf87cbc60f2ee48fc,woman,middle_aged,0.0117,0.0035,no_audio,0.0000
0e90af261f4fce7d5eabd9d4f1e4d537,man,no_person,0.0067,0.0073,no_audio,0.0000
2ee2ee8f11fdc4e2fa4473f40fbabb2b,woman,young_adult,0.0234,0.0158,no_audio,0.0000
6d348f59ef8394dd491795c2b40bc3f6,man,middle_aged,0.0477,0.0090,no_audio,0.0000
74f48127364950eb5ec687664ac68513,man,middle_aged,0.0346,0.0093,no_audio,0.0000
f7a6d4b5be891f73cede43bc969f2bee,man,middle_aged,0.0395,0.0404,no_audio,0.0000
0ccffc292d99955b860199ebf8138a6b,man,middle_aged,0.0264,0.0129,no_audio,0.0000
634d0fb7679f325805d53332cb24f536,man,middle_aged,0.0347,0.0109,no_audio,0.0000
d02c279a049b19bf0eb7c496073dc869,woman,middle_aged,0.0027,0.0078,no_audio,0.0000
6e0dc9c33f2b7e47e266a7074fe3952c,woman,middle_aged,0.0291,0.0006,no_audio,0.0000
de79b86123d88b4182fda2253d33e01f,man,middle_aged,0.0102,0.0170,no_audio,0.0000
897098765cbaaaddc5ff9a32106c2458,man,young_adult,0.0322,0.0052,no_audio,0.0000
02d19c87e5708eac24d44e3036d23a26,man,middle_aged,0.0247,0.0266,no_audio,0.0000
4f4b58e3e79881ecff1b165ae43ea119,no_person,no_person,0.0099,0.0113,no_audio,0.0000
d1e02143cf38b3e4a6883e8a7b520528,no_person,middle_aged,0.0041,0.0073,no_audio,0.0000
a9132ded41512938ed81393f6a5c0883,man,middle_aged,0.0359,0.0158,no_audio,0.0000
8941c23542e82cef0325718c31c0b59e,no_person,child,0.0088,0.0294,no_audio,0.0000
4d34c4c71b3ccf354c11cce0b2a89826,man,middle_aged,0.0159,0.0029,no_audio,0.0000
6b89f41bacdad5cdd5683aa6f0b13694,no_person,no_person,0.0011,0.0026,no_audio,0.0000
a76388f94fcf7b1a82230da5fdf2101c,man,middle_aged,0.0276,0.0322,no_audio,0.0000
338a4b591ae29980054e0e2a6001201c,man,middle_aged,0.0342,0.0401,no_audio,0.0000
2e800d7194a9adfc1b13997a9295c52b,man,young_adult,0.0159,0.0065,no_audio,0.0000
bc5c5798d93d0c76c0ccb5dda1a33990,man,middle_aged,0.0077,0.0115,no_audio,0.0000
3062116cb4f43bb7699ed6115a1c7c04,man,middle_aged,0.0146,0.0181,no_audio,0.0000
b2237a6cd490ed9eeed00c4c0a5b5649,woman,middle_aged,0.0456,0.0240,no_audio,0.0000
aacd177774e8c0068b88804652834fef,man,middle_aged,0.0002,0.0000,no_audio,0.0000
834574126c393f332883b945789ed135,man,elderly,0.0026,0.0015,no_audio,0.0000
1579477cdd54b5abc93c7ef31a675183,man,middle_aged,0.0304,0.0172,no_audio,0.0000
e2f4130bc916a8cbaec51892275627b9,man,middle_aged,0.0256,0.0300,no_audio,0.0000
3e36dd3b94e447ca2ec1cd87fde6c8b9,no_person,no_person,0.0094,0.0049,no_audio,0.0000
bb605e9e9e516e60519e7fdfa750f317,man,young_adult,0.0288,0.0061,no_audio,0.0000
27eccdbe2c6fd6519842c2e9cb022c58,no_person,no_person,0.0141,0.0172,no_audio,0.0000
90f0b2d5f57352c9d919a72e85171381,man,middle_aged,0.0101,0.0019,no_audio,0.0000
b35ae07da479c133785b4c541a5538c8,man,young_adult,0.0163,0.0001,no_audio,0.0000
5fe09870c55309d613037ce318bff133,no_person,no_person,0.0325,0.0358,no_audio,0.0000
239d8dfa9041f50aff9b6d2a964047e5,man,middle_aged,0.0344,0.0105,no_audio,0.0000
1695b12bc71dd4d01e62c34f0be8f756,man,middle_aged,0.0201,0.0120,no_audio,0.0000
720b0cc7bfebd09ab2f2f99241634486,woman,middle_aged,0.0078,0.0245,no_audio,0.0000
8ee8c5969c25f36516ed21e0f843af7a,woman,elderly,0.0083,0.0095,no_audio,0.0000
285fa01bc0d45324d12f1a7c179b8f46,man,middle_aged,0.0345,0.0249,no_audio,0.0000
7506085d9dc56c2e992f88b677e69b49,no_person,no_person,0.0020,0.0080,no_audio,0.0000
32e00fde9cfece3a2af7e1fe46cfbc44,no_person,no_person,0.0002,0.0068,no_audio,0.0000
bc7e10e3271aac059b333ee1eef1aebd,man,middle_aged,0.0133,0.0120,no_audio,0.0000
894fdb5e2b6f14fc32268984d35c22fd,no_person,no_person,0.0209,0.0147,no_audio,0.0000
e04cd82a000236084e9bf42764f21213,man,young_adult,0.0162,0.0019,no_audio,0.0000
b4bf8b19dafd0269fc141683c7f967b7,man,middle_aged,0.0234,0.0016,no_audio,0.0000
50caa0f5598bbac9bd1b0a4b2dad07c2,man,middle_aged,0.0322,0.0120,no_audio,0.0000
b74ce153d6d10ba278c238b60a6ad963,man,middle_aged,0.0083,0.0057,no_audio,0.0000
b0a112908f464aa96fd88f2eef4b8f44,woman,young_adult,0.0136,0.0054,no_audio,0.0000
687cac31b3cfc93a85073bfdd7daf176,no_person,child,0.0056,0.0091,no_audio,0.0000
8476509d2dd08e045af0c5eaea7546d0,no_person,no_person,0.0296,0.0053,no_audio,0.0000
247db7efc74ac61b6a4621dccc6a7148,man,elderly,0.0321,0.0011,no_audio,0.0000
5566f70e46cbd6731286d8642a457241,man,middle_aged,0.0204,0.0078,no_audio,0.0000
7a6d3ea2c2299c4f2ae4e67f7011d046,man,middle_aged,0.0361,0.0359,no_audio,0.0000
5144ea0275ae792b425fecf612e0e0a3,man,middle_aged,0.0060,0.0183,no_audio,0.0000
e420eae8e65c35e599ddf3887bcae01f,man,middle_aged,0.0032,0.0028,no_audio,0.0000
bbf408c2d1f8954013a0f94627934303,man,middle_aged,0.0301,0.0339,no_audio,0.0000
85ce3f8a52e67d97008cee3514091ec9,man,young_adult,0.0058,0.0053,no_audio,0.0000
6d9ffef444f0adff1fb19dde2c5b0148,woman,child,0.0125,0.0270,no_audio,0.0000
a165fc99717e8be37d06e2ee0dd01117,no_person,no_person,0.0317,0.0351,no_audio,0.0000
1c49a0b976cda7f9da5ef7ae6188b5ed,no_person,middle_aged,0.0085,0.0025,no_audio,0.0000
72cdaffd743f6e979c1f7262e712c28d,man,middle_aged,0.0288,0.0178,no_audio,0.0000
0f94b42beb1a3f090a8319d283a50e60,woman,young_adult,0.0190,0.0145,no_audio,0.0000
9c6230d457eb73d526fafcc337a00c99,man,middle_aged,0.0291,0.0024,no_audio,0.0000
c72790c70a8b893f4b5fdc3ab60510b3,no_person,no_person,0.0031,0.0035,no_audio,0.0000
